Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Smith's Point Fish Fry,2026-09-30,,"Smith's Point, Freeport",,General,https://www.bahamas.com/events/smiths-point-fish-fry,Visit Smith's Point every Wednesday night and you'll experience the most iconic event that happens on Grand Bahama Island.,bahamas.com: https://www.bahamas.com/events/smiths-point-fish-fry,1,"Freeport, Grand Bahama",26.533,-78.7
McClean's Town Conch Cracking Festival,2026-10-13,,"McClean's Town, East End",,Festival,https://www.bahamas.com/events/mccleans-town-conch-cracking-festival,McClean's Town Conch Cracking is an annual festival which features all conch related dishes as well as competitions and live entertainment in McClean's Town.,bahamas.com: https://www.bahamas.com/events/mccleans-town-conch-cracking-festival,1,"Freeport, Grand Bahama",26.533,-78.7
Oktoberfest - Beer & BBQ,2026-10-25,,"Freetown Heritage Festival Site, East End",,Festival,https://www.bahamas.com/events/oktoberfest---beer--bbq,"A new event on Grand Bahama Island. Oktoberfest features two local breweries: Commonwealth Brewery and Bahamian Brewery, live entertainment, Junkanoo rush-outs and all things BBQ.",bahamas.com: https://www.bahamas.com/events/oktoberfest---beer--bbq,1,"Freeport, Grand Bahama",26.533,-78.7
Conchman Triathlon,2026-11-01,,"Taino Beach, Freeport",,Sports & Fitness,https://www.bahamas.com/events/coachman-triathlon,"This event consists of a 750M swim, 25K bike and 5K run that provides visitors and locals the opportunity to compete, build and maintain a healthy physical and mental state.",bahamas.com: https://www.bahamas.com/events/coachman-triathlon,1,"Freeport, Grand Bahama",26.533,-78.7
Tabernacle Thanksgiving Basketball Tournament,2026-11-22,,Freeport,,Concert / Live Music,https://www.bahamas.com/events/tabernacle-thanksgiving-basketball-tournament,Tabernacle Baptist Academy's annual invitational basketball tournament features teams international teams as well as teams throughout The Bahamas.,bahamas.com: https://www.bahamas.com/events/tabernacle-thanksgiving-basketball-tournament,1,"Freeport, Grand Bahama",26.533,-78.7
Festival Noel,2026-12-05,,"Grand Bahama Nature Center, Freeport",,Festival,https://www.bahamas.com/events/festival-noel,"The Rand Nature Center's signature holiday festival, offers and evening with wine and art and features local artists. All funds raised go to The Bahamas National Trust for further development of national parks in The Bahamas.",bahamas.com: https://www.bahamas.com/events/festival-noel,1,"Freeport, Grand Bahama",26.533,-78.7
Freetown Fire Hearth Food & Heritage Festival,2027-05-20,,"Freetown Festival Site, East End",,Culture / Heritage,https://www.bahamas.com/events/freetown-hire-hearth-food--heritage-festival,"Freetown Fire Hearth Festival is held every year on Whit Monday. It offers visitors and locals a unique cultural experience that showcases culinary skills, hospitality and the rich history of Grand Bahama's first black settlement.",bahamas.com: https://www.bahamas.com/events/freetown-hire-hearth-food--heritage-festival,1,"Freeport, Grand Bahama",26.533,-78.7
