Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
"Curso: Antes de Hablar, Estrategias para Manejar los Medios de Comunicación",2026-10-23,9:30 AM - 4:30 PM,"Restraurante Antonio, 1406 Avenida Magdalena, San Juan, San Juan 00907",,Conference / Expo,https://www.eventbrite.com/e/curso-antes-de-hablar-estrategias-para-manejar-los-medios-de-comunicacion-tickets-1999957459599,,eventbrite: https://www.eventbrite.com/e/curso-antes-de-hablar-estrategias-para-manejar-los-medios-de-comunicacion-tickets-1999957459599,1,"San Juan, Puerto Rico",18.466,-66.106
Exploring New Trends in Vestibular Diagnostics,2026-10-23,8:30 AM - 4:00 PM,"University of Puerto Rico, Medical Sciences Campus, Medical Sciences Campus, San Juan, San Juan 00921",,Arts & Theatre,https://www.eventbrite.com/e/exploring-new-trends-in-vestibular-diagnostics-tickets-1996895395884,In person course designed to advance expertise and confidence in performing vestibular diagnostics.,eventbrite: https://www.eventbrite.com/e/exploring-new-trends-in-vestibular-diagnostics-tickets-1996895395884,1,"San Juan, Puerto Rico",18.466,-66.106
PURO CONFERENCE,2026-10-23,6:00 PM - 2:00 PM,"Fruto de la Vid San Juan, Casa de Avivamiento, 24 Avenida Simón Madera, San Juan, San Juan 00924",,Conference / Expo,https://www.eventbrite.com/e/puro-conference-tickets-2000258387683,,eventbrite: https://www.eventbrite.com/e/puro-conference-tickets-2000258387683,1,"San Juan, Puerto Rico",18.466,-66.106
Simposio Lo Que No Se Ve: Perfil del Agresor,2026-10-23,8:00 AM - 4:00 PM,"Colegio de Ingenieros y Agrimensores de Puerto Rico - Sede, 500 Calle Ingeniero Antolín Nin Martínez, San Juan, San Juan 00918",,Arts & Theatre,https://www.eventbrite.com/e/simposio-lo-que-no-se-ve-perfil-del-agresor-tickets-1995040811773,Capacitación clave para profesionales legales y clínicos sobre el perfil del agresor. Evento a beneficio de la Fundación Lunamar.,eventbrite: https://www.eventbrite.com/e/simposio-lo-que-no-se-ve-perfil-del-agresor-tickets-1995040811773,1,"San Juan, Puerto Rico",18.466,-66.106
Fiel a la Vega,2026-10-24,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/fiel-a-la-vega-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-10-24-8-30-pm/concert/18513334,,seatgeek: https://seatgeek.com/fiel-a-la-vega-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-10-24-8-30-pm/concert/18513334,1,"San Juan, Puerto Rico",18.4278,-66.0614
Puerto Rico Salsa Weekend Workshops/Talleres,2026-10-25,1:30 PM - 5:30 PM,"Música Bar & Lounge PR, 57 Calle Loíza, San Juan, San Juan 00911",,Business / Networking,https://www.eventbrite.com/e/puerto-rico-salsa-weekend-workshopstalleres-tickets-2001395095607,,eventbrite: https://www.eventbrite.com/e/puerto-rico-salsa-weekend-workshopstalleres-tickets-2001395095607,1,"San Juan, Puerto Rico",18.466,-66.106
Luna Llena: Yoga | Cacao | Sound Bath,2026-10-26,7:00 PM - 9:00 PM,"Jardin Al Bosque - Glamping & Venue, 1890 Calle Guaracanal, San Juan, San Juan 00926",,Sports & Fitness,https://www.eventbrite.com/e/luna-llena-yoga-cacao-sound-bath-tickets-1997049328300,,eventbrite: https://www.eventbrite.com/e/luna-llena-yoga-cacao-sound-bath-tickets-1997049328300,1,"San Juan, Puerto Rico",18.466,-66.106
Monster Jam - Puerto Rico,2026-10-30,8:00 PM,"Coliseo de Puerto Rico, San Juan",,Sports & Fitness,https://seatgeek.com/monster-jam-tickets/monster-truck/2026-10-30-8-pm/17930670,,seatgeek: https://seatgeek.com/monster-jam-tickets/monster-truck/2026-10-30-8-pm/17930670,1,"San Juan, Puerto Rico",18.4278,-66.0614
Monster Jam - Puerto Rico,2026-10-31,1:00 PM,"Coliseo de Puerto Rico, San Juan",,Sports & Fitness,https://seatgeek.com/monster-jam-tickets/monster-truck/2026-10-31-1-pm/17930672,,seatgeek: https://seatgeek.com/monster-jam-tickets/monster-truck/2026-10-31-1-pm/17930672 | seatgeek: https://seatgeek.com/monster-jam-tickets/monster-truck/2026-10-31-7-pm/17930674,2,"San Juan, Puerto Rico",18.4278,-66.0614
Monster Jam - Puerto Rico,2026-11-01,1:00 PM,"Coliseo de Puerto Rico, San Juan",,Sports & Fitness,https://seatgeek.com/monster-jam-tickets/monster-truck/2026-11-01-1-pm/17930676,,seatgeek: https://seatgeek.com/monster-jam-tickets/monster-truck/2026-11-01-1-pm/17930676 | seatgeek: https://seatgeek.com/monster-jam-tickets/monster-truck/2026-11-01-6-pm/17930678,2,"San Juan, Puerto Rico",18.4278,-66.0614
Primer Encuentro Empresarial 2026 Lo difícil se conversa,2026-11-04,8:00 AM - 5:30 PM,"Colegio de Abogados de Puerto Rico, 808 Avenida Juan Ponce de León, San Juan, San Juan 00907",,Conference / Expo,https://www.eventbrite.com/e/entradas-primer-encuentro-empresarial-2026-lo-dificil-se-conversa-1999618004279,,eventbrite: https://www.eventbrite.com/e/entradas-primer-encuentro-empresarial-2026-lo-dificil-se-conversa-1999618004279,1,"San Juan, Puerto Rico",18.466,-66.106
Speed Dating San Juan | Ages 30-40 | Real Connections-No Swiping,2026-11-06,8:00 PM - 10:00 PM,"105 C. de la Cruz, 105 Calle de la Cruz, San Juan, San Juan 00901",,Nightlife / Party,https://www.eventbrite.com/e/speed-dating-san-juan-ages-30-40-real-connections-no-swiping-tickets-1981821141383,,eventbrite: https://www.eventbrite.com/e/speed-dating-san-juan-ages-30-40-real-connections-no-swiping-tickets-1981821141383,1,"San Juan, Puerto Rico",18.466,-66.106
CA7RIEL & Paco Amoroso,2026-11-08,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/ca7riel-paco-amoroso-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-11-08-8-30-pm/concert/18513338,,seatgeek: https://seatgeek.com/ca7riel-paco-amoroso-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-11-08-8-30-pm/concert/18513338,1,"San Juan, Puerto Rico",18.4278,-66.0614
Fit con Cora Fest,2026-11-08,10:00 AM - 1:00 PM,"Eco's Sports Park, Stadium Street, San Juan, San Juan 00936",,Festival,https://www.eventbrite.com/e/fit-con-cora-fest-tickets-2001403487708,,eventbrite: https://www.eventbrite.com/e/fit-con-cora-fest-tickets-2001403487708,1,"San Juan, Puerto Rico",18.466,-66.106
"Contamination Control 360: Strategy, Operations and Innovation",2026-11-12,8:00 AM - 5:30 PM,"Embassy Suites by Hilton San Juan Hotel & Casino, 8000 José M. Tartak Avenue, Carolina, San Juan 00979",,Conference / Expo,https://www.eventbrite.com/e/contamination-control-360-strategy-operations-and-innovation-tickets-1999773637783,"Dive into Contamination Control 360 for hands-on strategies, ops tips, and the latest tech to keep things spotless!.",eventbrite: https://www.eventbrite.com/e/contamination-control-360-strategy-operations-and-innovation-tickets-1999773637783,1,"San Juan, Puerto Rico",18.466,-66.106
Plus Size Market,2026-11-14,9:00 AM - 6:00 PM,"513 Av. Escorial, 513 Avenida Escorial, San Juan, San Juan 00920",,Fair / Popup,https://www.eventbrite.com/e/plus-size-market-tickets-2001776056070,,eventbrite: https://www.eventbrite.com/e/plus-size-market-tickets-2001776056070,1,"San Juan, Puerto Rico",18.466,-66.106
TASTE & PAINT,2026-11-14,6:30 PM - 9:00 PM,"Cuartel de Ballajá, Calle Norzagaray, San Juan, San Juan 00901",,Nightlife / Party,https://www.eventbrite.com/e/taste-paint-tickets-1993959686097,,eventbrite: https://www.eventbrite.com/e/taste-paint-tickets-1993959686097,1,"San Juan, Puerto Rico",18.466,-66.106
8vo ENCUENTRO INTERNACIONAL DE ÉTICA APLICADA,2026-11-20,8:30 AM - 3:00 PM,"Centro para Puerto Rico de la Fundación Sila M. Calderón, 1012 Calle González, San Juan, San Juan 00925",,Conference / Expo,https://www.eventbrite.com/e/8vo-encuentro-internacional-de-etica-aplicada-tickets-1999338008805,,eventbrite: https://www.eventbrite.com/e/8vo-encuentro-internacional-de-etica-aplicada-tickets-1999338008805,1,"San Juan, Puerto Rico",18.466,-66.106
3er Simposio de Estimulación Cognitiva 2026,2026-11-21,9:00 AM - 5:00 PM,"Colegio de Ingenieros y Agrimensores de Puerto Rico - Sede, 500 Calle Ingeniero Antolín Nin Martínez, San Juan, San Juan 00918",,Conference / Expo,https://www.eventbrite.com/e/3er-simposio-de-estimulacion-cognitiva-2026-tickets-1984333655380,,eventbrite: https://www.eventbrite.com/e/3er-simposio-de-estimulacion-cognitiva-2026-tickets-1984333655380,1,"San Juan, Puerto Rico",18.466,-66.106
ABRAZO ANTILLANO,2026-11-21,3:00 PM - 7:00 PM,"Fundación por la Arquitectura, 225 Calle del Parque, San Juan, San Juan 00912",,Culture / Heritage,https://www.eventbrite.com/e/abrazo-antillano-tickets-2000255725721,,eventbrite: https://www.eventbrite.com/e/abrazo-antillano-tickets-2000255725721,1,"San Juan, Puerto Rico",18.466,-66.106
Rawayana,2026-11-28,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/rawayana-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-11-28-8-30-pm/concert/18138490,,seatgeek: https://seatgeek.com/rawayana-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-11-28-8-30-pm/concert/18138490,1,"San Juan, Puerto Rico",18.4278,-66.0614
THE MEETING NOVIEMBRE 28,2026-11-28,7:00 PM - 11:00 PM,"Balneario del Escambrón, Calle San Agustín, en el Parque Nacional del Tercer Milenio,, San Juan, San Juan 00910",,Arts & Theatre,https://www.eventbrite.com/e/the-meeting-noviembre-28-tickets-1998650088216,,eventbrite: https://www.eventbrite.com/e/the-meeting-noviembre-28-tickets-1998650088216,1,"San Juan, Puerto Rico",18.466,-66.106
Rawayana,2026-11-29,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/rawayana-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-11-29-8-30-pm/concert/18138492,,seatgeek: https://seatgeek.com/rawayana-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-11-29-8-30-pm/concert/18138492,1,"San Juan, Puerto Rico",18.4278,-66.0614
SEMINARIO ANUAL DE CUMPLIMIENTO 2026,2026-12-03,7:30 AM - 5:00 PM,"Los Chavales, 255 Avenida F.D. Roosevelt, San Juan, San Juan 00918",,Business / Networking,https://www.eventbrite.com/e/seminario-anual-de-cumplimiento-2026-tickets-2001088882716,,eventbrite: https://www.eventbrite.com/e/seminario-anual-de-cumplimiento-2026-tickets-2001088882716,1,"San Juan, Puerto Rico",18.466,-66.106
Kany Garcia,2026-12-04,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/kany-garcia-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-04-8-30-pm/concert/18261966,,seatgeek: https://seatgeek.com/kany-garcia-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-04-8-30-pm/concert/18261966,1,"San Juan, Puerto Rico",18.4278,-66.0614
HIGH TIMES Cannabis Cup Puerto Rico,2026-12-05,4:00 PM - 2:00 AM,"Cuartel de Ballajá, Calle Norzagaray, Old San Juan, San Juan 00926",,Fair / Popup,https://www.eventbrite.com/e/high-times-cannabis-cup-puerto-rico-tickets-2002086334120,,eventbrite: https://www.eventbrite.com/e/high-times-cannabis-cup-puerto-rico-tickets-2002086334120,1,"San Juan, Puerto Rico",18.466,-66.106
Kany Garcia,2026-12-05,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/kany-garcia-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-05-8-30-pm/concert/18261967,,seatgeek: https://seatgeek.com/kany-garcia-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-12-05-8-30-pm/concert/18261967,1,"San Juan, Puerto Rico",18.4278,-66.0614
