Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Afternoon Tea at The Library,2026-09-25,12PM - 5PM,"Rosewood Baha Mar, Nassau",,Food & Drink,https://www.rosewoodhotels.com/en/baha-mar/experiences/calendar/afternoon-tea,From indulgent sweet temptations reflective of Bahamian national symbols to the restorative and,nassauparadiseisland: https://www.rosewoodhotels.com/en/baha-mar/experiences/calendar/afternoon-tea,1,New Providence,,
Flamingo Brunch at Atlantis Paradise Island,2026-09-25,1 PM - 3:30 PM,"Poseidon's Table, Nassau",,Food & Drink,https://www.atlantisbahamas.com/events/tasteofatlantis,"Experience pink paradise with a vibrant, flamingo-themed brunch buffet.",nassauparadiseisland: https://www.atlantisbahamas.com/events/tasteofatlantis,1,New Providence,,
Junkanoo Fest at Atlantis,2026-09-25,9:00 PM,"Marina Village, Nassau",,Culture / Heritage,https://www.atlantisbahamas.com/junkanoo-bahamian-tradition?utm_campaign=npipb%20referral%20upcoming-events&utm_source=npipb_partner&utm_medium=referral,Join in the Junkanoo! This immersive Junkanoo experience showcases Bahamian music and cultural,nassauparadiseisland: https://www.atlantisbahamas.com/junkanoo-bahamian-tradition?utm_campaign=npipb%20referral%20upcoming-events&utm_source=npipb_partner&utm_medium=referral,1,New Providence,,
Ocean Guardians Experience,2026-09-25,,"Rosewood Baha Mar, Nassau",,General,https://www.rosewoodhotels.com/en/baha-mar/experiences/calendar/the-ocean-guardians-experience,Monthly Ocean Guardian Experience with Bahamian Dive Guide Andre Musgrove.,nassauparadiseisland: https://www.rosewoodhotels.com/en/baha-mar/experiences/calendar/the-ocean-guardians-experience,1,New Providence,,
Silent Disco at Atlantis Paradise Island,2026-09-25,,"The Royal, Nassau",,General,https://www.atlantisbahamas.com/silent-disco,Get ready for some nighttime fun for the entire family.,nassauparadiseisland: https://www.atlantisbahamas.com/silent-disco,1,New Providence,,
Spectacular Prix Fixe Menus,2026-09-25,,"Baha Mar, Cable Beach, Nassau",,Food & Drink,https://bahamar.com/savor,"Celebrate two months of exceptional dining with specially curated three-course prix fixe menus at many of our acclaimed restaurants. Thoughtfully designed by our talented chefs, each menu offers a distinctive journey through the flavors, creativity, and hospitality that define Baha Mar.",bahamar: https://bahamar.com/savor,1,New Providence,,
TUGA Comedy Club Presents: Live Comedy with Tata Sherise,2026-09-25,7:00 PM - 11:45 PM,Bahamas,$50.00,Comedy,https://eticketslive.com/event/tuga-comedy-club-presents-live-comedy-with-tata-sherise/,,eticketslive: https://eticketslive.com/event/tuga-comedy-club-presents-live-comedy-with-tata-sherise/,1,Unverified,,
Turbo Texas Hold'em Tournaments,2026-09-25,,"Baha Mar, Cable Beach, Nassau",,Concert / Live Music,https://bahamar.com/texas-holdem/,Experience the thrill of Turbo Texas Hold’em with fast-paced single-table play and winner-takes-all stakes.,bahamar: https://bahamar.com/texas-holdem/,1,New Providence,,
Afternoon Tea At The Library,2026-09-26,,Nassau,,Culture / Heritage,https://www.bahamas.com/events/afternoon-tea-at-the-library,"Join us for an unparalleled Afternoon Tea exclusively found in The Bahamas. From indulgent sweet temptations reflective of Bahamian national symbols to the restorative and delightful local bush teas, a journey to the island is incomplete without this cultural experience.",bahamas.com: https://www.bahamas.com/events/afternoon-tea-at-the-library,1,New Providence,,
Full Moon Yoga hosted by Rosewood Baha Mar,2026-09-26,,"Rosewood Baha Mar, Baha Mar Boulevard,Nassau, New Providence, Nassau",,Sports & Fitness,https://allevents.in/nassau/full-moon-yoga-hosted-by-rosewood-baha-mar/200030205794650,"Join us for a one-of-a-kind yoga session centered around the power of the Full Moon. Experience a rejuvenation unlike any other as we move through a sequence of Chandra Namaskar (Moon Salutations) and a refreshing visualization meditation, focused on alig",allevents.in: https://allevents.in/nassau/full-moon-yoga-hosted-by-rosewood-baha-mar/200030205794650 | nassauparadiseisland: https://www.rosewoodhotels.com/en/baha-mar/experiences/calendar/full-moon-yoga,2,New Providence,,
