Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
After Work Social at Radisson (Games Edititon ft AF13),2026-09-25,5:00 PM,"Radisson Poolside, Trinidad and Tobago",,General,https://islandetickets.com/event/GamesAF1321st,Work done. Weekend ON.,islandetickets: https://islandetickets.com/event/GamesAF1321st,1,Port of Spain,10.667,-61.517
Fun Run : Glow With The Flow,2026-09-25,6:30 PM - 9:00 PM,"Port-of-Spain, Trinidad and Tobago",$50.00,Nightlife / Party,https://islandetickets.com/event/FUN-RUN-GLOW-RUN,"Neon lights. Good vibes. Sweet energy.
It's time to Glow With The Flow!
Rally your crew and experience a fun-filled night run where every step is brighter than the last.
Medals included !
Friday 25th September
Pizza Bar, Port-of-Spain
Meeting time 6:30pm
SCORCH X DRWC X Connect x CLUBHOUSE",islandetickets: https://islandetickets.com/event/FUN-RUN-GLOW-RUN,1,Port of Spain,10.667,-61.517
LADY LAVA - MATRIX,2026-09-25,9:00 PM - 4:00 AM,"70 Bonne Aventure Rd, Gasparillo, Trinidad & Tobago, Trinidad and Tobago",$150.00,General,https://islandetickets.com/event/LADY-LAVA-MATRIX,,islandetickets: https://islandetickets.com/event/LADY-LAVA-MATRIX,1,Port of Spain,10.667,-61.517
Make Love Share Love❤️,2026-09-25,10:00 PM - 3:00 AM,"Harbour Master, Trinidad and Tobago",$100.00,General,https://islandetickets.com/event/YesNyah,,islandetickets: https://islandetickets.com/event/YesNyah,1,Port of Spain,10.667,-61.517
Slip Yuh Slide,2026-09-25,9:00 PM - 3:00 AM,"Chaguaramas, chaquacabana, Trinidad and Tobago",$250.00,General,https://islandetickets.com/event/Toxikevents,"For tickets please call:
737-4580 (Darius)
759-7706 (Eshea)
344-9221 (Hakeem)",islandetickets: https://islandetickets.com/event/Toxikevents,1,Port of Spain,10.667,-61.517
TTFF/ 26 Industry Day Pass 25.09.2026,2026-09-25,11:00 AM - 9:00 PM,"Loftt, Trinidad and Tobago",$300.00,Sports & Fitness,https://islandetickets.com/event/TTFF-26-Industry-Day-Pass,"Choose from a packed schedule of nine industry events on TTFF/26 INDUSTRY DAYS (25th or 26th September, 2026) including: compelling panel discussions, inspiring talks and informative presentations. This pass provides all access for one day of industry events, mixer/ social and the filmmaker lounge.
TTFF/26, our 20th anniversary edition, runs 23-27 September at Movietowne Port of Spain, with our Industry Programme taking place 25-26 September at LofTT.",islandetickets: https://islandetickets.com/event/TTFF-26-Industry-Day-Pass,1,Port of Spain,10.667,-61.517
TTFF/26 Industry Events Two-Day (All access) pass,2026-09-25,10:00 AM,"LofTT, Trinidad and Tobago",$500.00,Sports & Fitness,https://islandetickets.com/event/TTFF26-Industry-Events-All-Access,"Choose from a packed schedule of nine industry events on TTFF/26 INDUSTRY DAYS (25th/ 26th September, 2026) including: compelling panel discussions, inspiring talks and informative presentations. This pass provides all access to both days of industry events, mixer/ social and the filmmaker lounge.
TTFF/26, our 20th anniversary edition, runs 23 - 27 September at Movietowne Port of Spain, with our Industry Programme taking place 25 - 26 September at LofTT.",islandetickets: https://islandetickets.com/event/TTFF26-Industry-Events-All-Access,1,Port of Spain,10.667,-61.517
TTFF/26 Single Industry Event Ticket,2026-09-25,10:00 AM,"LoftTT, Trinidad and Tobago",$125.00,Sports & Fitness,https://islandetickets.com/event/TTFF26-Single-Industry-Event-Ticket,"Choose from a packed schedule of nine industry events on TTFF/26 INDUSTRY DAY TWO (26th September, 2026) including: compelling panel discussions, inspiring talks and informative presentations. This pass provides access to one specific industry event only.
TTFF/26, our 20th anniversary edition, runs 23 - 27 September at Movietowne Port of Spain, with our Industry Programme taking place 25 - 26 September at LofTT.",islandetickets: https://islandetickets.com/event/TTFF26-Single-Industry-Event-Ticket,1,Port of Spain,10.667,-61.517
boatYARD2026,2026-09-25,7:00 PM - 11:00 PM,"The Harbour Master, Trinidad and Tobago",$250.00,Regatta / Maritime,https://islandetickets.com/event/BoatYARD2026,"From one YARD to the next.
The Lost Tribe Carnival Presents: boatYARD
Your eyes do not deceive you. We're sailing the high seas for our very first boatYARD.
No theme. No dress code. No rules. Just come as you are.
Pack your cooler, pack your vibes, and let the music do the rest. boatYARD is soca, dancehall, Afrobeats and R&B all riding the same wave, one boat, zero judgment, pure vibes from bow to stern.
Date: September 25, 2026
Boarding 7pm. Sailing 8pm.
Location: The Harbour Master
Bring your coolers. Tickets are limited. Grab yours before the boat pulls off without you.",islandetickets: https://islandetickets.com/event/BoatYARD2026,1,Port of Spain,10.667,-61.517
100 DEGREES OF OLD SCHOOL,2026-09-26,8:00 PM - 3:00 AM,"ROCK BACK BY THE BAY - CHAGUARAMAS, Trinidad and Tobago",$100.00,General,https://islandetickets.com/event/100degreesofonldschool,,islandetickets: https://islandetickets.com/event/100degreesofonldschool,1,Port of Spain,10.667,-61.517
